nbh_num,cat_1,cat_2,price_tier,likes,rating,CAD / ft²·month,Neighbourhood,Population 2016,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),After-tax income: Average amount ($)
52,Middle Eastern Restaurant,None,2,59,7.8,4.583333333333334,Bayview Village,21396,4195,2415,2505,10310,2540,3615,610,41440
52,Deli / Bodega,None,1,7,7.1,4.583333333333334,Bayview Village,21396,4195,2415,2505,10310,2540,3615,610,41440
52,Fast Food Restaurant,None,1,41,6.8,4.583333333333334,Bayview Village,21396,4195,2415,2505,10310,2540,3615,610,41440
53,Japanese Restaurant,Sushi Restaurant,2,4,6.9,3.9414079667585606,Henry Farm,15723,6047,2505,2330,8045,1390,1460,135,30931
53,Sandwich Place,Fast Food Restaurant,1,1,6.5,3.9414079667585606,Henry Farm,15723,6047,2505,2330,8045,1390,1460,135,30931
53,Indian Restaurant,None,2,3,5.2,3.9414079667585606,Henry Farm,15723,6047,2505,2330,8045,1390,1460,135,30931
54,Gastropub,None,2,30,7.8,1.9108280254777068,O'Connor-Parkview,18675,3780,3110,2385,7855,2650,2690,430,36221
54,Bakery,None,1,32,7.9,1.9108280254777068,O'Connor-Parkview,18675,3780,3110,2385,7855,2650,2690,430,36221
54,Pizza Place,None,1,0,6.0,1.9108280254777068,O'Connor-Parkview,18675,3780,3110,2385,7855,2650,2690,430,36221
54,Fast Food Restaurant,American Restaurant,1,8,6.3,1.9108280254777068,O'Connor-Parkview,18675,3780,3110,2385,7855,2650,2690,430,36221
56,Fish & Chips Shop,None,2,96,8.9,3.630952380952381,Leaside-Bennington,16828,3596,3285,2175,6455,2340,2550,400,85496
56,Sandwich Place,None,1,4,7.5,3.630952380952381,Leaside-Bennington,16828,3596,3285,2175,6455,2340,2550,400,85496
56,Indian Restaurant,None,2,18,8.0,3.630952380952381,Leaside-Bennington,16828,3596,3285,2175,6455,2340,2550,400,85496
56,Café,None,1,18,7.8,3.630952380952381,Leaside-Bennington,16828,3596,3285,2175,6455,2340,2550,400,85496
56,Bagel Shop,Bakery,1,17,7.7,3.630952380952381,Leaside-Bennington,16828,3596,3285,2175,6455,2340,2550,400,85496
62,BBQ Joint,None,2,7,7.8,2.8531727008080265,East End-Danforth,21381,8038,3735,2210,9990,2805,2650,310,43567
62,Caribbean Restaurant,None,1,17,7.3,2.8531727008080265,East End-Danforth,21381,8038,3735,2210,9990,2805,2650,310,43567
