Address,Area,Rent,Latitude,Longitude
"122 DAVENPORT RD, Toronto ON",971.0,5200.0,43.6749762,-79.3930564
"5215 FINCH AVE E 161, Toronto ON",320.0,1400.0,43.8096132,-79.2570082
"3047 DUNDAS ST W, Toronto ON",4000.0,36.0,43.6654047,-79.4710144
"396 KING ST E, Toronto ON",1275.0,4000.0,43.6540571,-79.3611809
"2649 YONGE ST, Toronto ON",3600.0,50.0,43.7156225,-79.3999174
"1052 Kingston Rd, Toronto ON",0.031,30.0,43.6809832,-79.2843448
"36 HOWARD PARK AVE 144, Toronto ON",991.0,50.0,43.6521213,-79.4498609
"2761 MARKHAM RD D33, Toronto ON",99.0,1250.0,43.8213424,-79.2463043
"4675 Steeles Ave E 2E16&17, Toronto ON",0.005,1000.0,43.8239696,-79.302473
"10 MALLARD RD C108, Toronto ON",636.0,1800.0,43.7482385,-79.3474798
"#2-3 -200 QUEENS QUAY E 2-3, Toronto ON",2398.0,5.0,43.6462692,-79.3631878
"955 Dovercourt Rd, Toronto ON",0.013000000000000001,1900.0,43.6662437,-79.4310162
"327 Queen St E, Toronto ON",0.021,3314.0,43.6553145,-79.3653392
"746 BROADVIEW AVE, Toronto ON",1000.0,2200.0,43.6756604,-79.358634
"3355 KINGSTON RD, Toronto ON",1700.0,2500.0,43.7344755,-79.2210595
"1932 Queen St E, Toronto ON",0.02,2895.0,43.6695324,-79.3033725
"3176 EGLINTON AVE E, Toronto ON",1220.0,29.0,43.7432819,-79.2203539
"39 ORFUS RD H, Toronto ON",5349.0,20.0,43.7191248,-79.4592435
"15 RONCESVALLES AVE, Toronto ON",3287.0,16.0,43.6393684,-79.4459783
"595 SHEPPARD AVE E 103/104, Toronto ON",1909.0,55.0,43.7746994,-79.3481431
"699 Coxwell Ave G02, Toronto ON",0.021,2700.0,43.6837703,-79.3235166
"172 Eglinton Ave E 2, Toronto ON",0.037000000000000005,2000.0,43.708027,-79.3931798
"38 HOWARD PARK AVE 149, Toronto ON",1878.0,50.0,43.6518629,-79.4497602
"2000 JANE ST 1, Toronto ON",1800.0,65.0,43.714523,-79.5077563
"31 ELM ST, Toronto ON",6400.0,40.0,43.6574583,-79.3831522
"1546 DUPONT ST, Toronto ON",2716.0,35.0,43.6655841,-79.4526989
"41 LEBOVIC AVE A119, Toronto ON",753.0,2200.0,43.7233319,-79.2889364
"1194 WESTON RD W, Toronto ON",1500.0,2800.0,43.6875044,-79.4915448
"87 HARBORD ST B, Toronto ON",1098.0,2500.0,43.6626034,-79.4033401
"8 SATTERLY RD, Toronto ON",1000.0,1950.0,43.758899,-79.5701074
"275 DUNDAS ST W 43, Toronto ON",48.0,0.01,43.6541583,-79.3904907
"1149 Queen St W, Toronto ON",0.057,9695.42,43.6428519,-79.4244197
"3199 YONGE ST 101, Toronto ON",1200.0,5800.0,43.7277243,-79.4025697
"562 WILSON HEIGHTS BLVD, Toronto ON",1000.0,3000.0,43.7518911,-79.4570329
"3190 Yonge St Gr, Toronto ON",0.022000000000000002,5000.0,43.7279055,-79.403237
"3891B DON MILLS RD, Toronto ON",1120.0,18.0,43.807902,-79.356595
"602 RICHMOND ST W, Toronto ON",1300.0,3950.0,43.6469092,-79.402676
"595 SHEPPARD AVE E 104, Toronto ON",884.0,55.0,43.7677078,-79.3836931
"3220 DUFFERIN ST 15, Toronto ON",1515.0,18.0,43.7188365,-79.4578332
"1 BROOKDALE AVE Store, Toronto ON",350.0,3000.0,43.7297767,-79.4038137
"1571 SANDHURST CIRC 166, Toronto ON",552.0,105.0,43.8092547,-79.2696045
"275 DUNDAS ST W 22, Toronto ON",442.0,0.01,43.6541583,-79.3904907
"300 KING ST E, Toronto ON",10771.0,35.0,43.6522037,-79.3646318
"3150 Eglinton Ave E 14, Toronto ON",0.11,23.0,43.7428169,-79.2226648
"39 ORFUS RD G, Toronto ON",9302.0,16.0,43.7191248,-79.4592435
"1412 KENNEDY RD 1A, Toronto ON",1100.0,30.0,43.7633693,-79.2807902
"2574 YONGE ST, Toronto ON",5965.0,69.0,43.7139686,-79.4002472
"4417 SHEPPARD AVE, Toronto ON",1300.0,26.0,43.7872032,-79.2687529
"#C-102 -3276 MIDLAND AVE C-102, Toronto ON",469.0,2100.0,43.8052011,-79.2896409
"2314 BLOOR ST W, Toronto ON",2500.0,12000.0,43.6506483,-79.4799021
"208 CARLTON ST, Toronto ON",1000.0,2499.0,43.6640145,-79.3701351
"398 COLLEGE ST, Toronto ON",2350.0,47.0,43.6570393,-79.4059643
"398 College St, Toronto ON",0.054000000000000006,4500.0,43.6570393,-79.4059643
"1289 QUEEN ST W, Toronto ON",1500.0,40.0,43.6413038,-79.4320383
"461 Bloor St W, Toronto ON",0.02,5500.0,43.665958,-79.4065308
"1756 VICTORIA PARK AVE, Toronto ON",1500.0,3500.0,43.7364898,-79.3081194
"3585 KEELE ST 8, Toronto ON",2000.0,6300.0,43.7507138,-79.4869983
"139 LOWER JARVIS ST, Toronto ON",1316.0,10000.0,43.6489772,-79.3710301
"985 O'CONNOR DR N, Toronto ON",1100.0,4000.0,43.7086641,-79.3102405
"180 QUEENS PLATE DR A14, Toronto ON",1459.0,22.0,43.7187694,-79.5945523
"1576 KINGSTON RD, Toronto ON",1748.0,2700.0,43.6904452,-79.2669104
"365A WILSON AVE #211, Toronto ON",150.0,475.0,43.7364779,-79.4371415
"1402 QUEEN ST W, Toronto, Ontario",2200.0,50.0,43.6411994,-79.4344013
"1575 LAWRENCE AVE W 205, Toronto ON",720.0,1500.0,43.7057987,-79.4885361
"2075 YONGE ST, Toronto ON",2480.0,65.8,43.7026783,-79.3971247
"2326 DANFORTH AVE, Toronto ON",1290.0,26.0,43.6871826,-79.3070536
"3331 MARKHAM RD 108, Toronto ON",970.0,4700.0,43.8350954,-79.250357
"384 Yonge St 26, Toronto ON",0.008,1200.0,43.6592381,-79.382903
"3250 DUFFERIN ST 4C, Toronto ON",910.0,35.0,43.7200405,-79.4564275
"285 DUNDAS ST W Main, Toronto ON",1400.0,8000.0,43.6542451,-79.3909453
"99 FLORAL PKWY, Toronto ON",4200.0,12.5,43.7231527,-79.4728055
"1792 Weston Rd Main Fl, Toronto ON",0.025,3500.0,43.6986856,-79.5128407
"1466 BATHURST ST 108, Toronto ON",1028.0,0.01,43.6827712,-79.4183088
"595 SHEPPARD AVE E 103, Toronto ON",1025.0,55.0,43.7677078,-79.3836931
"1425 Gerrard St E, Toronto ON",0.018000000000000002,2099.0,43.672043,-79.3223496
"2245 KENNEDY RD E 5, Toronto ON",1608.76,19.0,43.7826533,-79.2872632
"200 QUEENS QUAY E 2-2, Toronto ON",2542.0,5.0,43.6463782,-79.3626153
"289 HORNER AVE B, Toronto ON",4662.0,12.0,43.6062747,-79.5238576
"817 DUNDAS ST W Main, Toronto ON",720.0,2600.0,43.6515517,-79.4087347
"5629 YONGE AVE, Toronto ON",169.0,3980.0,43.7805006,-79.4154526
"371 OLD KINGSTON RD 2, Toronto ON",500.0,2000.0,43.7834364,-79.169776
"600 QUEENS QUAY  W, Toronto ON",3000.0,40.0,43.6367319,-79.39786968529413
"6210 FINCH AVE W, Toronto ON",1720.0,35.0,43.7425466,-79.5897885
"6100 FINCH AVE W, Toronto ON",1565.0,35.0,43.74219306739967,-79.5889013066357
"2252 QUEEN ST E, Toronto ON",1750.0,39.8,43.672950518181814,-79.28666855454546
"4750 YONGE ST, Toronto ON",1268.0,55.0,43.7601989,-79.4109406
"4675 STEELES AVE E, Toronto ON",200.0,1100.0,43.8248318,-79.3015215
"1747 ST CLAIR AVE W A, Toronto ON",1000.0,3250.0,43.6740085,-79.46020725
"635A BLOOR ST W 2, Toronto ON",700.0,1200.0,43.664260545454546,-79.41456978181817
"2323 BLOOR ST W 104, Toronto ON",455.0,35.0,43.6501668,-79.47996092
"6100 FINCH AVE W, Toronto ON",1565.0,35.0,43.74219306739967,-79.5889013066357
"2566 ST. CLAIR AVE W, Toronto ON",1656.0,35.0,43.6679651,-79.4886127
"440 DANFORTH AVE, Toronto ON",3000.0,48.0,43.6779489,-79.3506079
"2252 QUEEN ST E, Toronto ON",1750.0,39.8,43.672950518181814,-79.28666855454546
"2323 BLOOR ST W 209, Toronto ON",893.0,35.0,43.6501668,-79.47996092
"4675 STEELES AVE E, Toronto ON",200.0,1000.0,43.8248318,-79.3015215
"2415 ST CLAIR AVE W, Toronto ON",1400.0,2180.0,43.66925371052631,-79.48176083157894
"6100 FINCH AVE W, Toronto ON",1219.0,35.0,43.74219306739967,-79.5889013066357
"68 ABELL ST, Toronto ON",2903.0,35.0,43.6425284,-79.4243006
"6230 FINCH AVE W, Toronto ON",1403.0,35.0,43.7416853,-79.5894938
