nbh_num,venue_id,venue_lon,venue_lat,cat_1,cat_2,price_tier,likes,rating
56,554b90e1498eb4aeef065e9f,-79.37458987723409,43.704438791101126,Café,None,1,18,7.8
56,4bc9d5543740b713e9515f65,-79.37491799978652,43.704923370250704,Bagel Shop,Bakery,1,17,7.7
59,4b9e7464f964a5204ae536e3,-79.32639855584102,43.68997452054689,Café,None,1,3,0.0
59,51bb4945498ef9c24009210c,-79.33393096923828,43.69271469116211,Deli / Bodega,None,1,1,0.0
59,532e15f5498e5b36d7846698,-79.33406829833984,43.69267272949219,Pizza Place,None,1,1,0.0
59,4c5f3a2890b2c9b6c3353a22,-79.333487,43.692984,Italian Restaurant,None,3,2,0.0
62,5a7f1cdcb1ec13211e96d84c,-79.30041,43.684105,BBQ Joint,None,2,7,7.8
62,4d4d9acf1a2d721e0e31991d,-79.30001696869618,43.68349688997171,Caribbean Restaurant,None,1,17,7.3
62,4b11aceaf964a520fd8123e3,-79.29995229254888,43.68862851126605,Fish & Chips Shop,None,1,18,7.7
62,4c031caa58dad13aff074897,-79.30170939352254,43.68822334940596,Middle Eastern Restaurant,Falafel Restaurant,2,3,6.6
62,5077544ee4b07018b528adf9,-79.30025317075166,43.68817795389521,Sandwich Place,Fast Food Restaurant,1,3,6.5
63,5279396111d2c5664928c346,-79.30215071863523,43.669573021423744,BBQ Joint,None,3,77,8.2
63,5aa5509cbed48336116ed8a8,-79.29866,43.670517,Mediterranean Restaurant,None,2,7,7.8
63,53e8d72e498e3e602573cffa,-79.30150262403112,43.6697241195373,Breakfast Spot,None,1,9,7.4
63,4ad886bbf964a520051221e3,-79.29965336344807,43.67021370116725,Diner,Breakfast Spot,1,14,7.4
63,4b58eeb6f964a520e37328e3,-79.3054042721163,43.6688671759284,Middle Eastern Restaurant,None,2,10,8.4
64,58375c0214250b703b480d06,-79.3148675051117,43.67807709328078,Café,None,1,20,8.9
65,4ae0c7a8f964a520638221e3,-79.32127455331215,43.67247950462566,Indian Restaurant,Vegetarian / Vegan Restaurant,1,79,8.6
65,5859d15c1d21ba53f2f9b4ef,-79.32071230366756,43.672520212121675,Asian Restaurant,Gastropub,2,34,8.9
65,4ade8f19f964a5205b7621e3,-79.3247037631388,43.67166839018913,Pakistani Restaurant,None,2,176,7.9
65,4afc9816f964a520312422e3,-79.32253200796698,43.672174809921415,Indian Restaurant,None,2,24,7.9
65,54302333498ed6ec0533ab40,-79.3284444246658,43.671757955479535,Egyptian Restaurant,African Restaurant,0,131,8.7
66,4f0f11fbe4b035449917e927,-79.3285298526357,43.68234009057258,Café,None,2,64,8.9
66,5155ca12e4b0e05526806bdf,-79.32807925839526,43.6824674097841,American Restaurant,Bar,2,133,8.7
66,514237e9e4b0041cb82cdd54,-79.32933205287013,43.682225048864694,Middle Eastern Restaurant,None,2,24,7.9
66,4eddcd237bebc294554744bb,-79.33025531659852,43.682044330949324,Gastropub,None,2,50,7.9
66,5aeeffcfcf72a0002c937ed8,-79.32873,43.6824,American Restaurant,None,2,10,7.6
67,4af4e0d0f964a5202ff721e3,-79.35393428891682,43.677061774959824,Italian Restaurant,None,2,31,8.5
67,5916090a69e77b035ceb1a86,-79.353274,43.677267,Restaurant,None,2,4,7.9
67,4adf84b2f964a520627b21e3,-79.35836661201425,43.67836631426999,Café,None,2,55,7.9
67,4b76b3d2f964a52064592ee3,-79.35307562861175,43.6774845518262,Restaurant,None,2,11,6.9
67,4c1d5337eac020a1cb1048c2,-79.35306551709385,43.67730788939673,Indian Restaurant,None,2,10,6.9
68,4b4626fef964a5204a1826e3,-79.35313352914292,43.669177107744204,Café,Coffee Shop,1,167,9.0
68,4b5f3113f964a5203fac29e3,-79.34681587395134,43.671184051150945,Café,Coffee Shop,1,44,8.7
68,4bce4183ef10952197da8386,-79.35143390043564,43.67762124481265,Greek Restaurant,None,2,78,8.7
68,4af4e0d0f964a5202ff721e3,-79.35393428891682,43.677061774959824,Italian Restaurant,None,2,31,8.5
68,5916090a69e77b035ceb1a86,-79.353274,43.677267,Restaurant,None,2,4,7.9
70,55637f1c498ecfe4c5dd2322,-79.34687077721378,43.659722741351565,Café,Pub,1,90,9.0
70,55cbe079498e206cdf9f4c97,-79.33238038071265,43.66280217891642,Pizza Place,None,1,85,9.2
70,57e0745a498ea809dbf75f68,-79.35439006096168,43.65375556880743,Mediterranean Restaurant,Falafel Restaurant,2,53,9.1
70,58233f576a80ef616dbf88ab,-79.35107379221633,43.65867460038718,Diner,None,1,34,9.0
70,519d414a498e6cc21f677ff4,-79.3463408134466,43.65973096534363,Middle Eastern Restaurant,None,2,99,8.4
71,4e4e7aa06365e1419d021044,-79.36861331485827,43.66753590663226,Italian Restaurant,Pizza Place,2,30,8.2
71,50cc21c37ab4d9c0594b6994,-79.36841520638596,43.66589495808371,Japanese Restaurant,None,2,113,8.6
71,4b646a6ff964a5205cb12ae3,-79.36940687874281,43.6678427705951,Diner,None,1,24,8.5
71,4d08ecf80ead8cfabe8cf276,-79.36879184199822,43.66663020301851,Café,None,1,15,8.2
71,5412007d498e1e2d959ac35e,-79.36931129229457,43.66738149016019,Restaurant,None,2,16,8.2
73,4ada57aff964a520972121e3,-79.36568085121628,43.658444465539525,Thai Restaurant,None,2,74,8.4
73,4af59046f964a520e0f921e3,-79.3645032892494,43.65567455427388,Breakfast Spot,None,1,55,7.9
73,561ffc99498e1468dac63cdd,-79.37053284604036,43.65423906004429,German Restaurant,None,2,16,8.2
73,4cbdc6784495721ea262617a,-79.36951731755141,43.65334679826618,Italian Restaurant,None,2,57,8.4
73,589b45bfaf5c141e6c9e0c3b,-79.369515,43.654064,Sandwich Place,None,1,5,7.9
75,4b2bd898f964a52042bc24e3,-79.37889120754515,43.66059636632361,Japanese Restaurant,Bar,2,387,8.6
75,560b1653498e1a2dfa4af722,-79.37887964897601,43.660631695006714,Ramen Restaurant,Japanese Restaurant,0,60,8.3
